公司,店名,地址,電話,經度,緯度,廁所,ATM,座位區
7-11,GRC,新竹市東區科園里工業東三路1號1樓,(03)5678253,121.008266,24.776814,0,1,0
7-11,P11,新竹市東區力行四路29號1樓,(03)5980300,121.022891,24.760104,0,0,0
7-11,力成捌,新竹市東區力行三路15號6樓,(03)5775874,121.022253,24.771477,0,0,0
7-11,千久,新竹市東區民主路154號156號,(03)5338512,120.978435,24.812552,0,1,1
7-11,千甲,新竹市東區千甲路235號,(03)5750224,121.005932,24.807738,1,1,1
7-11,公學,新竹市東區建功一路93號,(03)5748532,120.995188,24.801977,1,1,1
7-11,友達五,新竹市東區力行路23號6樓,(03)5773422,121.020219,24.762283,0,0,0
7-11,天湖,新竹市東區明湖路180號,(03)5621482,120.968362,24.791735,0,1,1
7-11,文清,新竹市東區建功路49號1.2樓,(03)5744701,120.999637,24.796845,0,1,1
7-11,日光,新竹市東區民權路100號1樓,(03)5427853,120.975499,24.807689,1,1,1
7-11,水水,新竹市東區水源街69號1樓,(03)5165479,120.991508,24.801079,1,1,1
7-11,世界先進,新竹市東區力行路9號2樓,(03)5778992,121.028202,24.771523,0,0,0
7-11,台積-12,新竹市東區力行六路8號1樓,(03)5777219,121.014244,24.772824,0,0,0
7-11,禾雅,新竹市東區鐵道路一段66號,(03)5423106,120.983689,24.812489,0,1,1
7-11,交大,新竹市東區大學路1001號(第二餐廳),(03)5724785,120.997052,24.789299,0,1,0
7-11,竹科,新竹市東區埔頂路8號,(03)5790747,121.00778,24.792699,1,1,1
7-11,竹高,新竹市東區東山街17號19號21號1樓,(03)6885432,120.979943,24.796051,1,1,1
7-11,竹博,新竹市東區民生路226號,(03)5152946,120.97575,24.812058,1,1,1
7-11,竹揚,新竹市東區文華里北大路38號,(03)5318119,120.972803,24.8129621,1,1,1
7-11,竹運,新竹市東區中華路二段471號,(03)5266371,120.970554,24.8013461,0,1,1
7-11,竹醫,新竹市東區鐵道路二段9號1樓,(03)5334622,120.980183,24.815341,0,1,1
7-11,自興,新竹市東區自由路69號,(03)5354292,120.980701,24.8131001,1,1,1
7-11,佑忠,新竹市東區忠孝路430號432號,(03)5619024,120.983294,24.803103,0,1,1
7-11,宏府,新竹市東區學府路164號,(03)5745036,120.985795,24.7973651,0,1,0
7-11,宏欣,新竹市東區金山街152號156號1樓,(03)5772746,121.025925,24.775759,1,1,1
7-11,宏遠,新竹市東區金山十五街1號1樓,(03)6686441,121.023156,24.777169,0,1,1
7-11,育賢,新竹市東區南大路611號613號1樓,(03)5624805,120.967271,24.788335,1,1,1
7-11,里客,新竹市東區民族路7號1樓,(03)5244323,120.971636,24.8030751,0,1,0
7-11,孟竹,新竹市東區軍功里16鄰建新路26號1樓,(03)5723256,120.99679,24.7981281,0,1,1
7-11,明泰科技,新竹市東區力行七路8號B1樓,(03)5795684,121.012719,24.774858,0,1,1
7-11,明瑚,新竹市東區明湖路410號1樓,(03)5191443,120.967326,24.785197,1,1,1
7-11,東民,新竹市東區忠孝路149號,(03)5723680,120.98987,24.804654,1,1,1
7-11,東品,新竹市東區食品路146號1樓,(03)5618092,120.976792,24.797602,1,1,1
7-11,東新,新竹市東區東新路86號,(03)5750942,120.987193,24.807378,0,1,1
7-11,東環,新竹市東區東門街33號,(03)5266382,120.973444,24.804013,1,1,0
7-11,矽導,新竹市東區力行一路1號,(03)5794397,121.017695,24.773867,1,1,1
7-11,迎竹,新竹市東區大學路1001-2號,(03)5165987,120.996446,24.783824,1,1,1
7-11,金士頓,新竹市東區力行一路1-5號B1樓,(03)6687284,121.017629,24.771243,0,1,0
7-11,金山六,新竹市東區金山六街59.61號1樓,(035)779404,121.019668,24.77669,1,1,1
7-11,金山里,新竹市東區金山街207號1樓,(03)5778270,121.027236,24.775334,1,1,1
7-11,金山街,新竹市東區金山街30號1樓,(03)5794468,121.021076,24.777683,1,1,1
7-11,金功,新竹市東區建功二路2號及6號1樓,(03)5738402,121.002302,24.7964401,0,1,1
7-11,金鑫,新竹市東區金城一路50-9號,(03)5718865,121.004523,24.795049,0,1,1
7-11,青草湖,新竹市東區明湖里明湖路3鄰1012-1號,(03)5296583,120.977642,24.768482,1,1,1
7-11,保忠,新竹市東區忠孝路1號,(03)5738890,120.989754,24.800603,1,1,1
7-11,俊友,新竹市東區林森路81號,(03)5263172,120.967353,24.800866,1,1,1
7-11,南衫,新竹市東區南大路123.125號,(03)5622730,120.975302,24.80098,0,1,1
7-11,建盛,新竹市東區建中一路52號1樓,(035)748898,120.993158,24.8012171,1,1,1
7-11,科有,新竹市東區光復路一段531巷70-1號,(03)5779289,121.012237,24.783287,1,1,1
7-11,科技城,新竹市東區工業東四路42號,(03)5670954,121.009733,24.773826,0,1,1
7-11,科管,新竹市東區科園里新安路2之1號1樓,(03)5670844,121.006267,24.78229,0,1,1
7-11,風城,新竹市東區民權路181號1樓,(03)5331847,120.973719,24.8097171,1,1,1
7-11,埔竹,新竹市東區埔頂二路148號1樓,(03)5781471,121.010205,24.792838,1,1,1
7-11,晏丞,新竹市東區振興路50號1樓,(03)5612425,120.962578,24.794903,1,1,1
7-11,泰一,新竹市東區中華路二段668號,(03)5254716,120.965511,24.7984571,1,1,1
7-11,馬偕兒,新竹市東區建功二路28號B1,(03)5716143,121.002927,24.797159,0,1,0
7-11,高清,新竹市東區建功里建功路6號1樓,(03)5737884,120.99835,24.7962281,1,1,1
7-11,高灃,新竹市東區高翠路331號1樓,(03)5670804,120.984413,24.777866,1,1,1
7-11,梅竹,新竹市東區光明里14鄰大學路56號58號60號,(03)5714668,121.00066,24.789536,0,1,1
7-11,清大,新竹市東區光復路二段101號,(03)5166254,120.993116,24.793034,0,1,0
7-11,清華竹師,新竹市東區光復路二段101號,(03)5610804,120.993116,24.793034,0,1,1
7-11,翊銘,新竹市東區新莊街182號186號,(03)5774378,121.017281,24.787139,0,1,1
7-11,富禹,新竹市東區埔頂三路6號,(03)6687604,121.013427,24.789922,1,1,1
7-11,富首,新竹市東區慈濟路230號1樓,(03)5678054,121.014915,24.791747,0,1,1
7-11,富森,新竹市東區林森路32號1樓(C9櫃位),(03)5248850,120.968731,24.801825,0,1,0
7-11,復全,新竹市東區新莊里長春街11.13號1樓,(03)5771145,121.013917,24.785245,1,1,1
7-11,揚明,新竹市東區新安路7號1樓,(03)5795413,120.998463,24.782011,0,1,1
7-11,智邦,新竹市東區科學工業園區研新三路1號,(03)6661816,120.987958,24.77839,0,0,0
7-11,華國,新竹市東區中華路一段107號109號,(03)5332309,120.993974,24.816014,1,1,1
7-11,新竹介壽,新竹市東區介壽一路37號,(03)5799541,121.018208,24.780266,1,1,1
7-11,新竹友達,新竹市東區科學園區力行二路1號,(03)5789976,121.019329,24.77384,0,1,0
7-11,新竹民,新竹市東區民族路114號116號1樓,(03)5341957,120.9772,24.8078301,1,1,1
7-11,新竹建華,新竹市東區建華街2號1樓,(03)5621048,120.974299,24.793448,1,1,1
7-11,新唐,新竹市東區研新三路4號2樓,(03)5787840,120.990387,24.779557,0,1,0
7-11,新站,新竹市東區榮光里林森路7號中華路二段458號,(03)5244549,120.970811,24.801687,0,1,0
7-11,新馬偕,新竹市東區光復路二段690號1樓,(03)5718278,120.990929,24.800329,0,0,0
7-11,新勝,新竹市東區東光路75號1樓,(03)5715124,120.986721,24.8037081,1,1,1
7-11,新揚,新竹市東區民生路149號151號153號1樓,(03)5316942,120.976778,24.810291,1,1,1
7-11,新親仁,新竹市東區親仁里仁愛街30號1樓,(03)5336597,120.971406,24.807296,0,1,1
7-11,煙波,新竹市東區明湖路967號1樓,(03)5296586,120.966448,24.77277,0,1,1
7-11,瑞昱,新竹市東區園區二路9-1號B2,(03)6686752,120.998154,24.780171,0,1,1
7-11,鳳美,新竹市東區中華路二段64號,(03)5337159,120.980994,24.8083971,1,1,1
7-11,緯創,新竹市東區新安路5號3樓之1,(03)6686174,120.998915,24.781984,0,0,0
